t1,t2,t3,d1,d2,d3,PN,Qeff,DT,BW
1507,634,206,1e+20,6.25e+15,3.86e+18,-164.596063515906,0.167589693847127,85.6502467461069,12.747685049593
761,390,523,3.91e+18,263000000000000,3.65e+18,-163.478268309996,0.269962355626777,76.163762904107,10.6474926554112
1304,566,376,3.93e+18,672000000000000,5.6e+17,-164.297183895153,0.242984499409743,85.1145352467443,11.1497037336905
1565,724,259,3.69e+18,1.15e+16,2.5e+18,-165.30021740723,0.224331273075317,85.1145352467443,12.4738000041553
1304,566,376,3.64e+18,1.74e+15,5.6e+17,-164.32809204294,0.24348981686157,85.1145352467443,11.1572503202219
1245,433,765,1.84e+18,4.07e+15,2.4e+18,-163.120323265466,0.297220117175281,90.1882021624172,9.32659142835439
1225,422,724,3.72e+18,111000000000000,2.2e+18,-162.47235569752,0.283879554701144,101.573924269685,8.56255578913257
956,317,956,3.6e+18,314000000000000,2.88e+18,-161.503236996794,0.310033503636819,101.038212770322,7.88240731795098
1969,778,203,2.74e+18,4.42e+15,6.62e+17,-165.600954250193,0.196161963220666,85.1145352467443,12.9360599443778
332,290,502,6.24e+18,5.2e+15,9.96e+17,-162.627260213761,0.285584806445571,76.163762904107,10.8298730454571
1951,800,400,1e+20,4e+15,8.18e+18,-166.307961443416,0.203163138983074,67.5056133193861,15.3557528882691
832,370,930,5.73e+18,4.02e+15,3.41e+17,-162.906493981121,0.323225547955586,85.6502467461069,9.9113691403911
1326,662,547,9.32e+18,7.43e+15,4.51e+18,-164.800466177321,0.286162238328646,90.1882021624172,12.1659416757968
832,370,930,5.73e+18,4.02e+15,3.41e+17,-162.906493981121,0.323225547955586,85.6502467461069,9.9113691403911
1216,794,123,7.5e+19,5.96e+15,3.7e+18,-166.230183404375,0.200757147257349,71.7349832049084,15.245623361602
1120,538,578,5.74e+18,498000000000000,5.96e+18,-164.072614257574,0.290403971243761,85.1145352467443,10.9342233987723
100,477,100,7.88e+18,947000000000000,6.13e+18,-165.660113991422,0.227144234799212,49.5961259248903,15.8240507474729
1142,694,245,6.61e+18,773000000000000,7.48e+18,-165.686846103368,0.244542085944236,75.6280514047444,13.2685112927356
1300,800,159,2.03e+19,7.49e+15,4.56e+18,-166.000402600281,0.216644690029897,80.2638538340367,14.2133432476398
1300,800,159,2.03e+19,7.49e+15,4.56e+18,-166.000402600281,0.216644690029897,80.2638538340367,14.2133432476398
1395,800,193,1.39e+19,5.35e+15,2.59e+18,-165.973710721721,0.220849023765153,80.2638538340367,14.0920590078146
1063,581,344,2.37e+18,2.45e+16,8.77e+17,-165.243964574972,0.260793159773246,70.6221598509709,12.0825363116305
1300,800,159,2.03e+19,7.49e+15,4.56e+18,-166.000402600281,0.216644690029897,80.2638538340367,14.2133432476398
1137,727,170,2.17e+19,7.66e+15,2.54e+18,-165.551438020525,0.221658442003356,80.2638538340367,13.6034489775323
1413,606,719,4.22e+18,237000000000000,4.22e+18,-164.426990839361,0.307625491307174,90.1882021624172,11.3038734372856
1106,747,184,8.66e+18,3.65e+15,4.87e+17,-166.16355244202,0.238163365455673,71.1992717055458,14.1997273725946
789,455,477,1.23e+18,827000000000000,8.37e+18,-165.245081318654,0.276966168140036,62.9325654174267,12.5549076927872
1676,800,352,1.14e+18,4e+15,1.69e+18,-166.324748394664,0.259133118703499,75.6280514047444,13.4451191022297
1200,750,200,7e+18,5e+15,2e+17,-166.085371563192,0.236333812071267,75.6280514047444,14.0712568059244
1410,452,988,1.02e+18,143000000000000,6.36e+17,-163.53581020936,0.328991433923397,90.1882021624172,9.65766256778978
953,483,602,1.43e+18,4.75e+15,2.12e+18,-165.052894152682,0.300870356504617,66.9699018200235,11.9940791149018
1194,691,241,2.05e+18,866000000000000,1.15e+17,-166.484664014198,0.245861420278083,67.5056133193861,14.1568696518111
1410,452,988,1.02e+18,143000000000000,6.36e+17,-163.53581020936,0.328991433923397,90.1882021624172,9.65766256778978
1366,599,802,9.65e+18,543000000000000,1.25e+17,-164.37156132676,0.314015659150399,90.7239136617798,11.851475602876
1361,800,400,1.15e+19,4.36e+15,2.21e+18,-166.041631550901,0.273228566707285,80.2638538340367,14.132372493755
762,503,323,2.03e+18,174000000000000,1.03e+18,-165.933638405544,0.257120273847561,59.0801161751905,13.4319051496241
1175,786,400,3.72e+18,4e+15,2.69e+18,-166.676409019399,0.296716134453084,66.9699018200235,14.4620022221828
901,536,734,2.89e+18,1.55e+15,1.7e+18,-165.424925684964,0.33719390055885,66.9699018200235,12.5895659754345
1150,785,400,4.58e+18,4.36e+15,2.48e+18,-166.616876526303,0.297329260167702,66.9699018200235,14.4691223779722
1176,800,400,3.96e+18,4.36e+15,2.6e+18,-166.738767386387,0.298246044425948,66.9699018200235,14.5880545716147
1175,786,400,3.72e+18,4e+15,2.69e+18,-166.676409019399,0.296716134453084,66.9699018200235,14.4620022221828
1427,1000,100,3.49e+18,185000000000000,2.21e+17,-167.651006639039,0.231249454521238,63.4682769167893,16.2483032442436
952,207,743,3.66e+18,8.34e+15,3.78e+18,-161.316938792523,0.396618188302898,125.223118047987,5.81084252938585
1165,800,400,4.63e+18,4e+15,2.49e+18,-166.692152878667,0.298201251743204,66.9699018200235,14.6061341083533
1157,799,395,4.1e+18,4e+15,2.63e+18,-166.771486503907,0.298432848164511,66.9699018200235,14.6551882407157
1176,800,400,3.96e+18,4.36e+15,2.6e+18,-166.738767386387,0.298246044425948,66.9699018200235,14.5880545716147
1166,800,400,4.34e+18,4e+15,2.71e+18,-166.722332589432,0.298545700158196,66.9699018200235,14.614202561901
1355,668,701,2.13e+18,629000000000000,2.44e+17,-165.689159729314,0.32673761331646,75.6280514047444,12.9207678987224
1355,668,701,2.13e+18,629000000000000,2.44e+17,-165.689159729314,0.32673761331646,75.6280514047444,12.9207678987224
1150,785,400,4.58e+18,4.36e+15,2.48e+18,-166.616876526303,0.297329260167702,66.9699018200235,14.4691223779722
1068,798,398,3.19e+18,4.36e+15,2.84e+18,-167.194318026118,0.308013605293256,62.9325654174267,15.1273328122219
1122,773,397,3.13e+18,4e+15,3.29e+18,-166.838668900596,0.299632889668902,66.9699018200235,14.5812396433157
1058,799,399,3.28e+18,4.25e+15,2.8e+18,-167.220894870164,0.30909901890097,62.9325654174267,15.1842575301209
1117,800,400,4.21e+18,4.03e+15,2.84e+18,-166.878823877931,0.303005850824295,66.9699018200235,14.8131799614589
1064,800,398,3.37e+18,4.29e+15,2.81e+18,-167.187729189031,0.308365152119459,62.9325654174267,15.1474870042174
1066,800,398,3.38e+18,4.28e+15,2.83e+18,-167.178785074833,0.308180258397351,62.9325654174267,15.1355917563764
1500,941,558,8.05e+18,539000000000000,2.83e+18,-167.003469269797,0.314587491729282,71.7349832049084,15.4744332139637
1061,536,734,6.46e+17,1.13e+15,1.06e+17,-166.565010368417,0.336647947462924,59.0801161751905,13.8197942114934
1064,800,398,3.37e+18,4.29e+15,2.82e+18,-167.18766180359,0.308365293081503,62.9325654174267,15.1472427919792
1064,800,398,3.35e+18,4.29e+15,2.83e+18,-167.191587828864,0.308397122244556,62.9325654174267,15.1501294402661
655,498,693,2.92e+18,426000000000000,1.89e+18,-165.978648078181,0.334453234131668,55.4056313709818,13.7058796826039
1117,800,400,4.21e+18,4.03e+15,2.84e+18,-166.878823877931,0.303005850824295,66.9699018200235,14.8131799614589
1078,787,400,3.62e+18,4.27e+15,2.69e+18,-166.996267141167,0.305280966146824,62.9325654174267,14.8890957463323
829,679,264,1.56e+18,837000000000000,9.83e+18,-167.80290174051,0.276939585578884,51.902405640116,15.9086605860011
1297,989,109,3.45e+17,294000000000000,3.23e+17,-169.184556771373,0.265450987599418,49.0996563936755,17.3926757724953
1297,989,109,3.45e+17,294000000000000,3.23e+17,-169.184556771373,0.265450987599418,49.0996563936755,17.3926757724953
1125,940,400,3.14e+18,1.33e+15,1e+17,-168.097970958122,0.32289124036388,59.6158276745531,17.1280025503312
1407,996,357,6.99e+17,1.01e+15,1.67e+17,-168.429326374593,0.309741638957805,55.9413428703444,16.5363551839955
